date,ip,port,asn,geo_country,jarm,ja3x,certificate_value
2024-08-14,8.142.93.103,50050,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",SG,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-14,80.66.75.43,443,AS211849 Kakharov Orinbassar Maratuly,RU,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,dc020972a4a8_9fb583da09a2_fb02ba79e164,"CN=CloudFlare Origin Certificate,OU=CloudFlare Origin CA,O=CloudFlare\, Inc."
2024-08-14,80.66.75.43,33899,AS211849 Kakharov Orinbassar Maratuly,RU,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,dc020972a4a8_9fb583da09a2_fb02ba79e164,"CN=CloudFlare Origin Certificate,OU=CloudFlare Origin CA,O=CloudFlare\, Inc."
2024-08-14,49.232.199.246,7011,AS45090 Shenzhen Tencent Computer Systems Company Limited,CN,3fd21b20d3fd3fd21c43d21b21b43d1ec49a4b64df0a9e9f328abd60285841,000000000000_000000000000_000000000000,
2024-08-14,82.152.164.236,443,AS202662 Hytron Network,HK,2ad2ad16d2ad2ad00042d42d00042de5fb3038104f457d92ba02e9311512c2,2166164053c1_2166164053c1_30d204a01551,"OU=,O=,L=,ST=,C="
2024-08-14,47.237.84.207,8443,"AS45102 Alibaba (US) Technology Co., Ltd.",SG,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,dc020972a4a8_9fb583da09a2_fb02ba79e164,"CN=CloudFlare Origin Certificate,OU=CloudFlare Origin CA,O=CloudFlare\, Inc."
2024-08-14,47.237.84.207,443,"AS45102 Alibaba (US) Technology Co., Ltd.",US,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,dc020972a4a8_9fb583da09a2_fb02ba79e164,"CN=CloudFlare Origin Certificate,OU=CloudFlare Origin CA,O=CloudFlare\, Inc."
2024-08-14,47.97.79.97,443,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=jquery.com,OU=Certificate Authority,O=jQuery,L=,ST=,C=US"
2024-08-14,47.101.147.34,444,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",CN,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da,2166164053c1_2166164053c1_30d204a01551,"CN=Major Cobalt Strike,OU=AdvancedPenTesting,O=cobaltstrike,L=Somewhere,ST=Cyberspace,C=Earth"
2024-08-14,47.206.167.222,4100,"AS5650 Frontier Communications of America, Inc.",US,29d29d15d29d29d00042d42d000000ead4c7821dac1ea7708430b3c7f92929,9fb583da09a2_9fb583da09a2_f269f029c206,"CN=Fireware web CA,OU=Fireware,O=WatchGuard"
